member_id,name,dob,join_date,plan_type,status
M0457,Name_457,2001-03-04,2023-03-22,Silver,Active
M0458,Name_458,2001-04-14,2023-03-29,Bronze,Cancelled
M0459,Name_459,2001-05-25,2023-04-05,Silver,Active
M0460,Name_460,2001-07-05,2023-04-11,Silver,Active
M0461,Name_461,2001-08-15,2023-04-18,Bronze,Active
M0462,Name_462,2001-09-25,2023-04-24,Gold,Active
M0463,Name_463,2001-11-05,2023-05-01,Silver,Active
M0464,Name_464,2001-12-16,2023-05-07,Silver,Active
M0465,Name_465,2002-01-26,2023-05-14,Gold,Cancelled
M0466,Name_466,2002-03-08,2023-05-21,Silver,Active
M0467,Name_467,2002-04-18,2023-05-27,Bronze,Active
M0468,Name_468,2002-05-29,2023-06-03,Silver,Active
M0469,Name_469,2002-07-09,2023-06-09,Gold,Active
M0470,Name_470,2002-08-19,2023-06-16,Bronze,Active
M0471,Name_471,2002-09-29,2023-06-23,Gold,Active
M0472,Name_472,2002-11-09,2023-06-29,Silver,Active
M0473,Name_473,2002-12-20,2023-07-06,Silver,Active
M0474,Name_474,2003-01-30,2023-07-12,Bronze,Active
M0475,Name_475,2003-03-12,2023-07-19,Gold,Active
M0476,Name_476,2003-04-22,2023-07-25,Gold,Active
M0477,Name_477,2003-06-02,2023-08-01,Gold,Active
M0478,Name_478,2003-07-13,2023-08-08,Silver,Active
M0479,Name_479,2003-08-23,2023-08-14,Silver,Active
M0480,Name_480,2003-10-03,2023-08-21,Silver,Active
M0481,Name_481,2003-11-13,2023-08-27,Silver,Active
M0482,Name_482,2003-12-24,2023-09-03,Gold,Active
M0483,Name_483,2004-02-03,2023-09-10,Silver,Cancelled
M0484,Name_484,2004-03-15,2023-09-16,Silver,Active
M0485,Name_485,2004-04-25,2023-09-23,Silver,Active
M0486,Name_486,2004-06-05,2023-09-29,Silver,Active
M0487,Name_487,2004-07-16,2023-10-06,Silver,Active
M0488,Name_488,2004-08-26,2023-10-12,Silver,Active
M0489,Name_489,2004-10-06,2023-10-19,Gold,Active
M0490,Name_490,2004-11-16,2023-10-26,Silver,Active
M0491,Name_491,2004-12-27,2023-11-01,Gold,Cancelled
M0492,Name_492,2005-02-06,2023-11-08,Silver,Active
M0493,Name_493,2005-03-19,2023-11-14,Silver,Active
M0494,Name_494,2005-04-29,2023-11-21,Silver,Active
M0495,Name_495,2005-06-09,2023-11-28,Bronze,Cancelled
M0496,Name_496,2005-07-20,2023-12-04,Silver,Active
M0497,Name_497,2005-08-30,2023-12-11,Gold,Active
M0498,Name_498,2005-10-10,2023-12-17,Silver,Active
M0499,Name_499,2005-11-20,2023-12-24,Silver,Active
M0500,Name_500,2005-12-31,2023-12-31,Bronze,Active
